title,location,url,salary,date_posted,date_updated,work_mode,contract_type,work_time,industry,position_level,experience_required,description,scraped_date,saved_to_db
Praca na stoczni elektryk (głównie ciągnięcie kabli),Gdynia ŚródmieścieJanka Wiśniewskiego 20,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/praca-na-stoczni-elektryk-glownie-ciagniecie-kabli-ogl65993201.html,,18.02.2025,22.05.2025,Stacjonarna,"Umowa zlecenie,, Kontrakt B2B",Pełny etat,Praca za granicą,Pracownik fizyczny,,Zapewniamy zakwaterowanie i wszelkie transportyZjazdy 6/2 tygodnieOkoło 240h w miesiącuPraca na stoczni - jednostki pasażerskieMiejsce pracy - WISMARKwota od 14 tysięcy do 20 tysięcyMail z cv proszę wysłać na adresd...@elect...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijlub kontaktować się pod numerem telefonu693886...Wyświetl numer×Zabezpieczenie anty-spamoweZamknij,2025-05-25 16:21:50,2025-05-25 16:22:23.399
Konsultant ds. Utrzymania Klienta w Gdyni Redłowo,Gdynia Redłowoal. Zwycięstwa 171,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/konsultant-ds-utrzymania-klienta-w-gdyni-redlowo-ogl66041024.html,,03.04.2025,12.05.2025,Stacjonarna,Umowa zlecenie,"Pełny etat,, Część etatu",Call center,"Specjalista,, Pracownik biurowy",,"Konsultant ds. Utrzymania Klienta w Gdyni Redłowo - Dla Ciebie!Dołącz do energicznego zespołu w nowoczesnym biurze VECTRA S.A. w Gdyni Redłowo! Jeśli jesteś pełen zapału, mamy dla Ciebie ofertę pracy, która nie tylko rozwija umiejętności, ale również zapewnia satysfakcję i świetne zarobki.Co dla Ciebie mamy:Zarobki, które zależą od Ciebie!Prowizja u średniego konsultanta bez limitów (około 5000 zł)!Stała stawka za godzinę i nowoczesny system prowizyjny,który daje Ci kontrolę nad swoimi zarobkami.Wsparcie od doświadczonych menedżerów i konsultantów,którzy pomogą Ci odnieść sukces.Szkolenia dostosowane do Ciebie,abyś zawsze był/a na topie.Jasną ścieżkę kariery,abyś mógł/a się rozwijać razem z nami.Elastyczne godziny pracy,bo zdajemy sobie sprawę, że życie to nie tylko praca.Nowoczesne biuro z chillout room, stołówką i innymi udogodnieniami,bo zasługujesz na komfortowe miejsce pracy.Karta MultiSport i dostęp do platformy kafeteryjnej,bo dbamy o Twój komfort życia poza pracą.Możliwość zdobywania atrakcyjnych nagród podczas ""salesday""- bo sukces to powód do świętowania!Twoje zadania:Aktywna sprzedaż,bo wierzymy, że Twój entuzjazm zrobi różnicę.Kontrola sprzedaży i dbanie o zadowolenie klientów,bo relacje są dla nas kluczowe.Udział w szkoleniach,które pozwolą Ci się rozwijać.Czekamy na Ciebie, jeśli:Chcesz się rozwijać w sprzedaży,bo tu znajdziesz swoją przestrzeń do rozkwitania.Angażujesz się w to, co robisz,bo pasja przynosi najlepsze efekty.Szybko przyswajasz wiedzę,bo świat się zmienia, a my idziemy z duchem czasu.Umiesz pracować pod presją czasu,bo wiesz, że wyzwania dodają smaku życiu.Jeśli czujesz, że ta oferta jest dla Ciebie, nie czekaj - aplikuj już teraz!Oświadczam, że wyrażam zgodę na przetwarzanie moich danych osobowych przez VECTRA S.A.Zostałeś/aś poinformowany/a o przysługujących Ci prawach, danych Administratora oraz Inspektora Ochrony Danych, o dobrowolności zgody i możliwości jej cofnięcia, o okresie przetwarzania danych oraz celu ich przetwarzania. Do zobaczenia w zespole!",2025-05-25 16:21:53,2025-05-25 16:22:23.404
Asystentka stomatologiczna - Nawrocki Clinic,,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/asystentka-stomatologiczna-nawrocki-clinic-ogl65654999.html,,26.03.2024,12.05.2025,Stacjonarna,"Umowa o pracę,, Kontrakt B2B",Pełny etat,"Medycyna,, Opieka medyczna,, Służba zdrowia",Asystent,,"Asystentka stomatologiczna!W związku z nieustannym rozwojem Kliniki poszukujemy do pracy Asystentkę  Stomatologiczną.Oferujemy pracę w bardzo doświadczonym zespole, na najnowocześniejszym sprzęcie, z użyciem najlepszej jakości materiałów, zapewniamy bardzo dobre warunki finansowe!Jeżeli jesteś osobą ambitną, chcesz się rozwijać oraz podnosić swoje kwalifikacje, to szukamy właśnie Ciebie!Dołącz do nas!Oferujemy:Stabilne zatrudnienieAtrakcyjne wynagrodzenieCiekawą i pełną wyzwań pracęMożliwość rozwoju i zdobywania wiedzy oraz podnoszenia kwalifikacjiPracę w doświadczonym zespole z najlepszymi specjalistamiDoskonałą atmosferę",2025-05-25 16:21:56,2025-05-25 16:22:23.405
Kelner / Kelnerka Hotel Gniecki ***,Gdańsk,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/kelner-kelnerka-hotel-gniecki-ogl61583205.html,,07.06.2018,05.03.2025,Stacjonarna,Umowa o pracę,Pełny etat,"Gastronomia,, Hotelarstwo",Pracownik fizyczny,,"punktualność,uczciwość,umiejętność pracy w zespoledoświadczenie na proponowanym stanowiskuoferujemy odpowiednie wynagrodzenie, obiady personalne, miłą atmosferę",2025-05-25 16:21:59,2025-05-25 16:22:23.407
Kosmetolog,Gdańsk ŚródmieścieJana Heweliusza 22,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/kosmetolog-ogl66093454.html,,23.05.2025,23.05.2025,Stacjonarna,"Umowa o pracę,, Umowa zlecenie","Pełny etat,, Część etatu",Kosmetyka / Fryzjerstwo,Specjalista,,Jeżeli:Masz min. roczne doświadczenie w pracy na stanowisku kosmetologaMasz ukończone studia kierunkowePotrafisz sięTwoja pasja to kosmetologiaPotrafisz sprzedawać i budować relacje z KlientamiPrezentujesz wysoką kulturę osobistąJesteś komunikatywna i zaangażowanaTo szukamy właśnie Ciebie :-)Jeśli chcesz dołączyć do naszego Zespołu prześlij swoje CV nar...@diamo...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknij,2025-05-25 16:22:03,2025-05-25 16:22:23.408
Asystent/-ka Działu Handlowego,Gdańsk KarczemkiLubczykowa 5,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/asystent-ka-dzialu-handlowego-ogl66091964.html,,22.05.2025,22.05.2025,Stacjonarna,Umowa o pracę,Pełny etat,"Usługi kurierskie,, Obsługa klienta,, Przedstawiciel handlowy","Specjalista,, Asystent",,"Firma BPS Przesyłki Kurierskie działająca od ponad 20 lat na rynkuoferuje usługi kurierskie krajowe i międzynarodowe. Specjalizujemy się w dobieraniu odpowiednich usług dla klientów. Nasza oferta obejmuje zarówno koperty, paczki jak również palety. Wśród firm korzystających z naszych usług są przedsiębiorstwa działające w różnych branżach: telekomunikacyjnej, finansowej, medialnej i handlowej.W związku z dynamicznym rozwojem poszukujemy kandydatów/tki na stanowiska:Asystent/-ka Działu HandlowegoMiejsce pracy: GdańskZadania:wsparcie Działu Handlowego w zakresie realizacji zadań związanych ze sprzedażą,udzielanie klientom bieżących informacji o realizacji zleceń,utrzymywanie i rozwijanie relacji z klientami,administrowanie dokumentami związanymi z procesem sprzedaży (min. ofertami, cennikami),wsparcie innych działów firmy,prace administracyjno-organizacyjne.Oczekujemy:zdolności analityczne,umiejętności organizacji pracy własnej,rzetelności, dokładności i obowiązkowości w wykonywaniu powierzonych zadań,komunikatywności i dynamiczności w działaniu,łatwość w nawiązywaniu kontaktów,dobra znajomość pakietu MSOffice,znajomość branży kurierskiej będzie dodatkowym atutem.Oferujemy:umowę o pracę (praca od pon-pt, w godz. 8-16),możliwości rozwoju zawodowego,możliwość wdrażania nowych pomysłów w ramach obowiązujących procedur,pakiet świadczeń pozapłacowych (m.in. karta Multisport),bardzo dobrą atmosferę pracy w zgranym zespole,wsparcie w procesie adaptacji zawodowej,stabilną pracę w firmie o ugruntowanej pozycji na rynku;",2025-05-25 16:22:07,2025-05-25 16:22:23.409
Psycholog,SłupskJana Pawła II 1,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/psycholog-ogl66084697.html,,15.05.2025,15.05.2025,Stacjonarna,Umowa o pracę,Część etatu,"Zarządzanie biurem,, Edukacja / Nauka",Specjalista,,"Pomorski Urząd Wojewódzki w Gdańsku80-810 Gdańsk Okopowa 21/27Ogłoszenie nr 151872 / 15.05.2025PsychologDo spraw: wsparcia psychologicznego dyspozytorów medycznych w Wydziale Państwowego Ratownictwa Medycznego, Oddział Dyspozytornia Medyczna w Słupsku#administracja publiczna #zdrowieDostępne także dlacudzoziemcówLiczba stanowisk: 1Wymiar etatu: 0,5Status: nabór w tokuMiejsce pracy: Słupsk ul. Jana Pawła II 1Ważne do: 26.05.2025Wynagrodzenie zasadnicze : 4718,70 zł bruttoCzym będziesz się zajmowaćOsoba na tym stanowisku:prowadzi poradnictwo i udziela pomocy psychologicznej w zakresie problemów psychologicznych wpływających na dobrostan psychiczny dyspozytora medycznego,bierze udział w procedurze rekrutacji poprzez weryfikację umiejętności radzenia sobie ze stresem, stabilności emocjonalnej, odporności psychicznej oraz innych niezbędnych z punktu widzenia specyfiki pracy kompetencji psychologicznych osób ubiegających się o stanowisko dyspozytora medycznego,prowadzi szkolenia doskonalące dla dyspozytorów medycznych oraz kierownika dyspozytorni medycznej i zastępcy kierownika dyspozytorni medycznej w zakresie kompetencji psychologicznych zapobiegających stresowi na stanowisku pracy oraz służących wypracowaniu umiejętności radzenia sobie ze stresem zawodowympodejmuje interwencje psychologiczne w sytuacjach kryzysowych,podejmuje działania w zakresie prewencji skutków stresorów zawodowych w odniesieniu do pracy dyspozytorów medycznych.Kogo poszukujemyPotrzebne ci będą(wymagania niezbędne)Wykształcenie: wyższe 5 letnie jednolite studia magisterskie na kierunku psychologiaDoświadczenie zawodowe co najmniej 5 lat w tym: co najmniej 2 lata doświadczenia w interwencji kryzysowej lub w pracy polegającej na udzielaniu wsparcia osobom wykonującym zawód medyczny lub co najmniej 3 lata doświadczenia w pracy w Policji, wojsku lub w Państwowej Straży Pożarnej na stanowisku psychologaZnajomość ustaw: o Państwowym Ratownictwie Medycznym oraz rozporządzenia Ministra Zdrowia w sprawie szczegółowego zakresu zadań psychologa w ramach wsparcia psychologicznego dyspozytorów medycznych, o ochronie danych osobowych, o służbie cywilnej, o wojewodzie i administracji rządowej w województwie.W służbie cywilnej nie może być zatrudniona osoba, która w okresie od dnia 22 lipca 1944 r. do dnia 31 lipca 1990 r. pracowała lub pełniła służbę w organach bezpieczeństwa państwa lub była współpracownikiem tych organów w rozumieniu przepisów ustawy z dnia 18 października 2006 r. o ujawnianiu informacji o dokumentach organów bezpieczeństwa państwa z lat 1944–1990 oraz treści tych dokumentów - nie dotyczy kandydatek/kandydatów urodzonych 1 sierpnia 1972 r. lub później. Osoba wybrana do zatrudnienia będzie musiała złożyć oświadczenie lustracyjne, jeśli urodziła się przed 1 sierpnia 1972 r.Posiadanie obywatelstwa ukraińskiego – dotyczy obywateli Ukrainy, przebywających legalnie na terytorium Rzeczypospolitej Polskiej lub których pobyt na tym terytorium jest uznawany za legalny na podstawie art. 2 ust. 1 ustawy z dnia 12 marca 2022 r. o pomocy obywatelom Ukrainy w związku z konfliktem zbrojnym na terytorium tego państwaPosiadanie obywatelstwa polskiego albo obywatelstwa innego państwa Unii Europejskiej albo obywatelstwa innego państwa, którego obywatele na podstawie umów międzynarodowych lub przepisów prawa wspólnotowego posiadają prawo podjęcia zatrudnienia na terytorium Rzeczypospolitej PolskiejKorzystanie z pełni praw publicznychNieskazanie prawomocnym wyrokiem za umyślne przestępstwo lub umyślne przestępstwo skarboweCo oferujemyMożliwość wyjścia w celu załatwienia ważnej sprawyKarty sportowe lub dofinansowanie zajęć sportowo-rekreacyjnychDopłata do biletów na imprezy kulturalneDofinansowanie do wypoczynku pracownikówDofinansowanie do wypoczynku dzieci pracownikówDodatek za wysługę lat od 5% do 20% wynagrodzenia zasadniczego, w zależności od udokumentowanego stażu pracyMożliwość dofinansowania do legitymacji ze zniżką 50% na przejazdy PKP, SKM, PKM po przepracowaniu co najmniej 6 miesięcyDodatkowe wynagrodzenie roczne tzw. ""trzynastka""Wsparcie psychologiczneDostępnośćNasz urząd jest pracodawcą równych szans. Aplikacje rozważane są z równą uwagą bez względu na płeć, wiek, niepełnosprawność, rasę, narodowość, przekonania polityczne, przynależność związkową, pochodzenie etniczne, wyznanie, orientację seksualną czy też jakąkolwiek inną cechę prawnie chronioną.Jako osoba z niepełnosprawnością nie możesz skorzystać z pierwszeństwa w zatrudnieniu – nie składaj dokumentu potwierdzającego niepełnosprawność.W miesiącu poprzedzającym datę upublicznienia ogłoszenia wskaźnik zatrudnienia osób niepełnosprawnych w urzędzie, w rozumieniu przepisów ustawy o rehabilitacji zawodowej i społecznej oraz zatrudnianiu osób niepełnosprawnych, wyniósł co najmniej 6%.Warunki pracyWarunki dotyczące charakteru pracy na stanowisku i sposobu wykonywania zadańpraca administracyjno-biurowa, miejsce i otoczenie organizacyjno-techniczne stanowiska pracyna stanowisku nie występują czynniki szkodliwe dla zdrowia,większość czynności jest wykonywana w pozycji siedzącej,podstawowe wyposażenie na stanowisku to: komputer, telefon, drukarka.Dodatkowe informacjeJeśli zostaniesz zakwalifikowany do kolejnego etapu, powiadomimy Cię o tym mailowo (lub telefonicznie – jeżeli nie podałeś adresu e-mail). Tak samo zrobimy, jeśli nie uda Ci się przejść do dalszego etapu.Oświadczenia podpisz odręcznie i wstaw datę ich sporządzenia.Oferty kandydatów, którzy nie zostali zatrudnieni, zniszczymy po 3 miesiącach od zakończenia naboru. Do tego czasu będzie można je odebrać w urzędzie (ale nie odeślemy ich).Kompletna aplikacja to taka, która zawiera wszystkie wymagane dokumenty i własnoręcznie podpisane oświadczenia.Do dokumentów sporządzonych w języku obcym dołącz kopie ich tłumaczenia na język polski sporządzone przez tłumacza przysięgłego.Nie przesyłaj wszystkich dokumentów, które uznasz, że mogą Ci pomóc w naborze. Prześlij tylko te, których wymagamy lub zalecamy.Zwróć uwagę na warunki pracy, które wskazaliśmy w ogłoszeniu – rzetelnie oceń, czy odpowiada Ci taka praca.Złożone przez Ciebie dokumenty zweryfikujemy pod względem formalnym na podstawie zapisów ogłoszenia dotyczących wymaganych i dodatkowych dokumentów.Informacje o etapach naboru dostępne są na stronie BIP Pomorskiego Urzędu Wojewódzkiego w GdańskuInformacje na temat procedury zgłoszeń wewnętrznych znajdują się na stronie:https://www.gov.pl/web/uw-pomorski/zglaszanie-naruszenPlanujemy następujące metody/techniki naboru:weryfikacja formalna nadesłanych ofert,test wiedzy (opcjonalnie),sprawdzian praktyczny (opcjonalnie),rozmowa kwalifikacyjna.Twoja aplikacja musi zawierać (dokumenty niezbędne)CV i list motywacyjnyKopie dokumentów potwierdzających spełnienie wymagania niezbędnego w zakresie wykształceniaKopie dokumentów potwierdzających spełnienie wymagania niezbędnego w zakresie doświadczenia zawodowego / stażu pracyOświadczenie, że w okresie od dnia 22 lipca 1944 r. do dnia 31 lipca 1990 r. kandydatka/kandydat nie pracowała/ł, nie pełniła/ł służby w organach bezpieczeństwa państwa i nie była/był współpracownikiem tych organów w rozumieniu przepisów ustawy z dnia 18 października 2006 r. o ujawnianiu informacji o dokumentach organów bezpieczeństwa państwa z lat 1944–1990 oraz treści tych dokumentów. Nie dotyczy kandydatek/kandydatów urodzonych 1 sierpnia 1972 r. lub późniejKopia dokumentu potwierdzającego legalność przebywania/pobytu na terytorium RP – dotyczy obywateli Ukrainy, przebywających legalnie na terytorium Rzeczypospolitej Polskiej lub których pobyt na tym terytorium jest uznawany za legalny na podstawie ustawy z dnia 12 marca 2022 r. o pomocy obywatelom Ukrainy w związku z konfliktem zbrojnym na terytorium tego państwaObywatele Ukrainy, przebywający legalnie na terytorium Rzeczypospolitej Polskiej lub których pobyt na tym terytorium jest uznawany za legalny na podstawie ustawy z dnia 12 marca 2022 r. o pomocy obywatelom Ukrainy w związku z konfliktem zbrojnym na terytorium tego państwa nie muszą składać dokumentu potwierdzającego znajomość języka polskiegoOświadczenie o posiadanym obywatelstwieW przypadku osób nieposiadających obywatelstwa polskiego - kopia dokumentu potwierdzającego znajomość języka polskiego zgodnie z rozporządzeniem Prezesa Rady Ministrów w sprawie określenia rodzajów dokumentów potwierdzających znajomość języka polskiego przez osoby nieposiadające obywatelstwa polskiego, ubiegające się o zatrudnienie w służbie cywilnejOświadczenie o korzystaniu z pełni praw publicznychOświadczenie o nieskazaniu prawomocnym wyrokiem za umyślne przestępstwo lub umyślne przestępstwo skarboweDołącz, jeśli posiadasz(dokumenty dodatkowe)W przypadku przekazania dokumentu potwierdzającego niepełnosprawność konieczne jest dołączenie oświadczenia o wyrażeniu zgody na przetwarzanie danych osobowych do celów naboru w zakresie wykraczającym poza katalog danych określonych w Kodeksie pracy oraz wynikających z ustawy o służbie cywilnej.Aplikuj do: 26 maja 2025W formie papierowej z dopiskiem:""ogłoszenie nr 151872""na adres:Pomorski Urząd Wojewódzki w GdańskuPunkt przyjęć korespondencji w pokoju 24 w kancelarii ogólnej przy wejściu „A"":ul. Okopowa 21/2780-810 GdańskNa aplikacji należy umieścić dopisek: 66/25Dokumenty można składać elektronicznie wyłącznie przez elektroniczną skrzynkę podawczą (ESP) urzędu utworzoną na elektronicznej Platformie Usług Administracji Publicznej (ePUAP) oraz za pomocą e-doręczeń (adres: AE:PL-69276-68927-JEAH).Dodatkowe informacje dotyczące doręczania dokumentów elektronicznych znajdziesz na stronie BIP urzędu w zakładce Kontakt -> Elektroniczna Skrzynka Podawcza/ eDoręczenia.Zapraszamy również do kontaktu telefonicznego:(58) 30 77 530, 30 77 141Więcej o pracy na stronie urzędu:https://www.gov.pl/web/uw-pomorski/praca-w-puwDokumenty należy złożyć do:26.05.2025Decyduje data:stempla pocztowego / osobistego dostarczenia oferty do urzęduAplikując, oświadczasz, że znana Ci jest treść informacji na temat przetwarzania danych osobowych w naborzePrzetwarzanie danych osobowychDANE OSOBOWE - KLAUZULA INFORMACYJNAPrzed przystąpieniem do procesu naboru proszę zapoznać się z klauzulą informacyjną dot. przetwarzania danych osobowych, dostępną pod adresem: https://www.gov.pl/web/uw-pomorski/jak-zlozyc-dokumenty2",2025-05-25 16:22:10,2025-05-25 16:22:23.410
Wsparcie prac biurowych,Gdańsk KowaleStarowiejska 33,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/wsparcie-prac-biurowych-ogl66091625.html,,22.05.2025,,Stacjonarna,Umowa zlecenie,Pełny etat,"Stanowiska asystenckie,, Wsparcie administracyjne,, Kontrola jakości / Audyt",Pracownik biurowy,,"DPD Polska, lider rynku usług kurierskich, doOddziału w Kowalachposzukuje Kandydatek/Kandydatów doWsparcia Prac BiurowychDo zadań będzie należeć:weryfikowanie i archiwizowanie dokumentów,wprowadzanie danych do systemu,wsparcie w pracach administracyjnych,kontrola powierzonych zadań,raportowanie wykonanych zadań,ścisła współpraca z działem administracji i serwisu.Od kandydatów oczekujemy:komunikatywności, otwartości i nastawienia na współpracę,sprawnego posługiwania się komputerem - w szczególności pakiet MS Office,dobrej organizacji,umiejętności logicznego myślenia i wyciągania wniosków,dyspozycyjności,gotowości do świadczenia usług w przedziale godzinowym 7-21.Oferujemy:współpracę w oparciu o umowę zlecenia,współpracę ze stabilną firmą,szkolenia wewnętrzne,pozytywną atmosferę.Uprzejmie informujemy, że odpowiemy tylko na wybrane oferty.",2025-05-25 16:22:14,2025-05-25 16:22:23.411
Pracownik Biura Obsługi Klienta,Gdańsk KarczemkiLubczykowa 5,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/pracownik-biura-obslugi-klienta-ogl66091972.html,,22.05.2025,,Stacjonarna,Umowa o pracę,Pełny etat,"Wsparcie administracyjne,, Usługi kurierskie,, Obsługa klienta","Asystent,, Pracownik biurowy",,"Firma BPS Przesyłki Kurierskie działająca od ponad 20 lat na rynkuoferuje usługi kurierskie krajowe i międzynarodowe. Specjalizujemy się w dobieraniu odpowiednich usług dla klientów. Nasza oferta obejmuje zarówno koperty, paczki jak również palety. Wśród firm korzystających z naszych usług są przedsiębiorstwa działające w różnych branżach: telekomunikacyjnej, finansowej, medialnej i handlowej.W związku z dynamicznym rozwojem poszukujemy kandydatów/tki na stanowiska:Pracownik Biura Obsługi KlientaMiejsce pracy: GdańskZadania:obsługa klientów (telefoniczna oraz e-mail),udzielanie klientom bieżących informacji o realizacji zleceń,rozwiązywanie problemów pojawiających się podczas wykonywania usług logistycznych,wsparcie Działu Handlowego w zakresie realizacji zleceń,utrzymywanie i rozwijanie relacji z klientami,prace administracyjno-organizacyjne.Oczekujemy:umiejętności organizacji pracy własnej,rzetelności, dokładności i obowiązkowości w wykonywaniu powierzonych zadań,komunikatywności i dynamiczności w działaniu,łatwość w nawiązywaniu kontaktów,bardzo dobra znajomość pakietu MSOffice, w szczególności Excel – warunek koniecznyznajomość języka angielskiego w stopniu komunikatywnym – warunek koniecznyOferujemy:umowę o pracę (praca od pon-pt, w godz. 8-16),możliwości rozwoju zawodowego,możliwość wdrażania nowych pomysłów w ramach obowiązujących procedur,pakiet świadczeń pozapłacowych (m.in. karta Multisport),bardzo dobrą atmosferę pracy w zgranym zespole,wsparcie w procesie adaptacji zawodowej,stabilną pracę w firmie o ugruntowanej pozycji na rynku;",2025-05-25 16:22:17,2025-05-25 16:22:23.413
Pokojową / Sprzątaczkę  Hotel Gniecki ***,Gdańsk,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/pokojowa-sprzataczke-hotel-gniecki-ogl65866896.html,,10.10.2024,22.04.2025,Stacjonarna,"Umowa o pracę,, Umowa zlecenie","Pełny etat,, Część etatu","Gastronomia,, Hotelarstwo",Pracownik fizyczny,,"punktualność,uczciwość,doświadczenie w pracy z klientem oraz pracą biurowąumiejętność pracy w zespoleoferujemy odpowiednie wynagrodzenie, miłą atmosferę.",2025-05-25 16:22:19,2025-05-25 16:22:23.414
